alpha,accuracy,f1_macro,f1_micro
0.1,0.7175,0.7115441120208189,0.7175
0.5,0.72,0.716553421540918,0.72
1.0,0.7108333333333333,0.7090620957169059,0.7108333333333333
2.0,0.6891666666666667,0.6892426211633954,0.6891666666666667
5.0,0.65,0.6497897166902045,0.65
