C,accuracy,f1_macro,f1_micro
0.01,0.5491666666666667,0.5410219578670153,0.5491666666666667
0.1,0.6858333333333333,0.6810720020568138,0.6858333333333333
1.0,0.7066666666666667,0.7027566973347934,0.7066666666666667
10.0,0.715,0.7112471953214352,0.715
100.0,0.7158333333333333,0.7130020522936728,0.7158333333333333
